CurrentRank,Country,CurrentScore,LifeExp,Type,SchYrs,GNIperCapita,PreviousRank,Continent,Status
97,Egypt,0.731,70.2,Expected,13.8,"11,732",97,Africa,High
97,Tunisia,0.731,73.8,Expected,15.4,"10,258",94,Africa,High
99,Fiji,0.73,67.1,Expected,14.7,"9,980",94,Australia,High
99,Suriname,0.73,70.3,Expected,13,"12,672",92,South America,High
101,Uzbekistan,0.727,70.9,Expected,12.5,"7,917",107,Asia,High
102,Dominica,0.72,72.8,Expected,13.3,"11,488",106,North America,High
102,Jordan,0.72,74.3,Expected,10.6,"9,924",104,Asia,High
104,Libya,0.718,71.9,Expected,12.9,"15,336",117,Africa,High
105,Paraguay,0.717,70.3,Expected,13,"12,349",100,South America,High
106,Palestine,0.715,73.5,Expected,13.4,"6,583",109,Asia,High
106,Saint Lucia,0.715,71.1,Expected,12.9,"12,048",104,North America,High
108,Guyana,0.714,65.7,Expected,12.5,"22,465",107,South America,High
109,South Africa,0.713,62.3,Expected,13.6,"12,948",102,Africa,High
110,Jamaica,0.709,70.5,Expected,13.4,"8,834",110,North America,High
111,Samoa,0.707,72.8,Expected,12.4,"5,308",112,Australia,High
112,Gabon,0.706,65.8,Expected,13,"13,367",113,Africa,High
112,Lebanon,0.706,75,Expected,11.3,"9,526",103,Asia,High
114,Indonesia,0.705,67.6,Expected,13.7,"11,466",116,Asia,High
115,Vietnam,0.703,73.6,Expected,13,"7,867",113,Asia,High
116,Philippines,0.699,69.3,Expected,13.1,"8,920",113,Asia,Medium
117,Botswana,0.693,61.1,Expected,12.3,"16,198",110,Africa,Medium
118,Bolivia,0.692,63.6,Expected,14.9,"8,111",119,South America,Medium
118,Kyrgyzstan,0.692,70,Expected,13.2,"4,566",121,Asia,Medium
120,Venezuela,0.691,70.6,Expected,12.8,"4,811",118,South America,Medium
121,Iraq,0.686,70.4,Expected,12.1,"9,977",122,Asia,Medium
122,Tajikistan,0.685,71.6,Expected,11.7,"4,548",126,Asia,Medium
123,Belize,0.683,70.5,Expected,13,"6,309",120,North America,Medium
123,Morocco,0.683,74,Expected,14.2,"7,303",122,Africa,Medium
125,El Salvador,0.675,70.7,Expected,12.7,"8,296",124,North America,Medium
126,Nicaragua,0.667,73.8,Expected,12.6,"5,625",129,North America,Medium
127,Bhutan,0.666,71.8,Expected,13.2,"9,438",125,Asia,Medium
128,Cabo Verde,0.662,74.1,Expected,12.6,"6,230",127,Africa,Medium
129,Bangladesh,0.661,72.4,Expected,12.4,"5,472",128,Asia,Medium
130,Tuvalu,0.641,64.5,Expected,9.4,"6,351",131,Australia,Medium
131,Marshall Islands,0.639,65.3,Expected,10.2,"4,620",131,Australia,Medium
132,India,0.633,67.2,Expected,11.9,"6,590",130,Asia,Medium
133,Ghana,0.632,63.8,Expected,12,"5,745",135,Africa,Medium
134,Micronesia,0.628,70.7,Expected,11.5,"3,696",136,Australia,Medium
135,Guatemala,0.627,69.2,Expected,10.6,"8,723",133,North America,Medium
136,Kiribati,0.624,67.4,Expected,11.8,"4,063",137,Australia,Medium
137,Honduras,0.621,70.1,Expected,10.1,"5,298",138,North America,Medium
138,Sao Tome and Principe,0.618,67.6,Expected,13.4,"4,021",139,Africa,Medium
139,Namibia,0.615,59.3,Expected,11.9,"8,634",134,Africa,Medium
140,Laos,0.607,68.1,Expected,10.1,"7,700",142,Asia,Medium
140,Timor-Leste,0.607,67.7,Expected,12.6,"4,461",140,Asia,Medium
140,Vanuatu,0.607,70.4,Expected,11.5,"3,085",142,Australia,Medium
143,Nepal,0.602,68.4,Expected,12.9,"3,877",144,Asia,Medium
144,eSwatini,0.597,57.1,Expected,13.7,"7,679",141,Africa,Medium
145,Eq. Guinea,0.596,60.6,Expected,9.7,"12,074",147,Africa,Medium
146,Cambodia,0.593,69.6,Expected,11.5,"4,079",148,Asia,Medium
146,Zimbabwe,0.593,59.3,Expected,12.1,"3,810",145,Africa,Medium
148,Angola,0.586,61.6,Expected,12.2,"5,466",149,Africa,Medium
149,Myanmar,0.585,65.7,Expected,10.9,"3,851",145,Asia,Medium
150,Syria,0.577,72.1,Expected,9.2,"4,192",152,Asia,Medium
151,Cameroon,0.576,60.3,Expected,13.1,"3,621",150,Africa,Medium
152,Kenya,0.575,61.4,Expected,10.7,"4,474",150,Africa,Medium
153,Congo,0.571,63.5,Expected,12.3,"2,889",153,Africa,Medium
154,Zambia,0.565,61.2,Expected,10.9,"3,218",154,Africa,Medium
155,Solomon Is.,0.564,70.3,Expected,10.3,"2,482",155,Australia,Medium
156,Comoros,0.558,63.4,Expected,11.9,"3,142",156,Africa,Medium
156,Papua New Guinea,0.558,65.4,Expected,10.4,"4,009",157,Australia,Medium
158,Mauritania,0.556,64.4,Expected,9.4,"5,075",158,Africa,Medium
159,Côte d'Ivoire,0.55,58.6,Expected,10.7,"5,217",159,Africa,Medium
160,Tanzania,0.549,66.2,Expected,9.2,"2,664",160,Africa,Low
161,Pakistan,0.544,66.1,Expected,8.7,"4,624",161,Asia,Low
162,Togo,0.539,61.6,Expected,13,"2,167",163,Africa,Low
163,Haiti,0.535,63.2,Expected,9.7,"2,848",162,North America,Low
163,Nigeria,0.535,52.7,Expected,10.1,"4,790",163,Africa,Low
165,Rwanda,0.534,66.1,Expected,11.2,"2,210",165,Africa,Low
166,Benin,0.525,59.8,Expected,10.8,"3,409",166,Africa,Low
166,Uganda,0.525,62.7,Expected,10.1,"2,181",166,Africa,Low
168,Lesotho,0.514,53.1,Expected,12,"2,700",168,Africa,Low
169,Malawi,0.512,62.9,Expected,12.7,"1,466",169,Africa,Low
170,Senegal,0.511,67.1,Expected,9,"3,344",170,Africa,Low
171,Djibouti,0.509,62.3,Expected,7.4,"5,025",171,Africa,Low
172,Sudan,0.508,65.3,Expected,7.9,"3,575",171,Africa,Low
173,Madagascar,0.501,64.5,Expected,10.1,"1,484",173,Africa,Low
174,Gambia,0.5,62.1,Expected,9.4,"2,172",173,Africa,Low
